accion,threads,tiempo
Máximo,8,0.319800
Máximo,8,0.376400
Máximo,8,0.316600
Máximo,8,0.316700
Máximo,8,0.304700
Máximo,8,0.316200
Máximo,8,0.306900
Máximo,8,0.269500
Máximo,8,0.357700
Máximo,8,0.336700
Máximo,8,0.275100
Máximo,8,0.275800
Máximo,8,0.278900
Máximo,8,0.288100
Máximo,8,0.304300
Máximo,8,0.377500
Máximo,8,0.282200
Máximo,8,0.315000
Máximo,8,0.451800
Máximo,8,0.312000
Máximo,8,0.357100
Máximo,8,0.335800
Máximo,8,0.436300
Máximo,8,0.336500
Máximo,8,0.312000
Máximo,8,0.316500
Máximo,8,0.383100
Máximo,8,0.384200
Máximo,8,0.385300
Máximo,8,0.371700
Máximo,8,0.367600
Máximo,8,0.409100
Máximo,8,0.366200
Máximo,8,0.369500
Máximo,8,0.389700
Máximo,8,0.353500
Máximo,8,0.434500
Máximo,8,0.408900
Máximo,8,0.350600
Máximo,8,0.601500
Máximo,8,0.351400
Máximo,8,0.442600
Máximo,8,0.386500
Máximo,8,0.358000
Máximo,8,0.424700
Máximo,8,0.295500
Máximo,8,0.331900
Máximo,8,0.456700
Máximo,8,0.442000
Máximo,8,0.397700
Máximo,8,0.326400
Máximo,8,0.379900
Máximo,8,0.323700
Máximo,8,0.317200
Máximo,8,0.508400
Máximo,8,0.293200
Máximo,8,0.314700
Máximo,8,0.295100
Máximo,8,0.299300
Máximo,8,0.328300
Máximo,8,0.319200
Máximo,8,0.285500
Máximo,8,0.304400
Máximo,8,0.312800
Máximo,8,0.320600
Máximo,8,0.313100
Máximo,8,0.304700
Máximo,8,0.327100
Máximo,8,0.358700
Máximo,8,0.311600
Máximo,8,0.306000
Máximo,8,0.292400
Máximo,9,0.1021700
Máximo,9,0.370000
Máximo,9,0.512200
Máximo,9,0.330600
Máximo,9,0.544300
Máximo,9,0.355800
Máximo,9,0.542100
Máximo,9,0.399100
Máximo,9,0.557500
Máximo,9,0.367300
Máximo,9,0.643400
Máximo,9,0.350900
Máximo,9,0.618000
Máximo,9,0.363200
Máximo,9,0.522400
Máximo,9,0.340600
Máximo,9,0.566400
Máximo,9,0.357000
Máximo,9,0.544700
Máximo,9,0.378100
Máximo,9,0.534100
Máximo,9,0.331900
Máximo,9,0.499300
Máximo,9,0.332900
Máximo,9,0.557800
Máximo,9,0.406200
Máximo,9,0.531200
Máximo,9,0.356400
Máximo,9,0.546700
Máximo,9,0.400800
Máximo,9,0.543600
Máximo,9,0.480300
Máximo,9,0.512600
Máximo,9,0.379500
Máximo,9,0.782600
Máximo,9,0.355600
Máximo,9,0.555900
Máximo,9,0.484000
Máximo,9,0.587800
Máximo,9,0.357500
Máximo,9,0.713800
Máximo,9,0.336000
Máximo,9,0.507900
Máximo,9,0.411400
Máximo,9,0.558200
Máximo,9,0.358700
Máximo,9,0.533900
Máximo,9,0.366000
Máximo,9,0.551800
Máximo,9,0.334700
Máximo,9,0.498700
Máximo,9,0.392900
Máximo,9,0.553800
Máximo,9,0.336700
Máximo,9,0.530400
Máximo,9,0.366900
Máximo,9,0.626500
Máximo,9,0.357500
Máximo,9,0.601500
Máximo,9,0.363400
Máximo,9,0.518000
Máximo,9,0.358300
Máximo,9,0.579500
Máximo,9,0.363800
Máximo,9,0.527600
Máximo,9,0.352400
Máximo,9,0.579000
Máximo,9,0.343900
Máximo,9,0.518100
Máximo,9,0.464500
Máximo,9,0.583600
Máximo,9,0.353500
Máximo,9,0.528500
Máximo,9,0.342200
Máximo,9,0.571500
Máximo,9,0.382400
Máximo,9,0.600300
Máximo,9,0.334200
Máximo,9,0.533700
Máximo,9,0.353300
Máximo,9,0.590300
Máximo,9,0.351900
Máximo,9,0.669400
Máximo,9,0.354800
Máximo,9,0.512600
Máximo,9,0.350400
Máximo,9,0.537300
Máximo,9,0.361300
Máximo,9,0.547900
Máximo,9,0.345300
Máximo,9,0.606500
Máximo,9,0.358900
Máximo,9,0.497400
Máximo,9,0.327500
Máximo,9,0.547400
Máximo,9,0.340400
Máximo,9,0.522500
Máximo,9,0.350800
Máximo,9,0.600100
Máximo,9,0.371400
Máximo,10,0.541700
Máximo,10,0.403000
Máximo,10,0.558000
Máximo,10,0.373900
Máximo,10,0.537000
Máximo,10,0.448600
Máximo,10,0.750300
Máximo,10,0.379900
Máximo,10,0.533700
Máximo,10,0.365300
Máximo,10,0.531600
Máximo,10,0.411200
Máximo,10,0.532700
Máximo,10,0.374800
Máximo,10,0.781000
Máximo,10,0.389000
Máximo,10,0.555500
Máximo,10,0.519700
Máximo,10,0.550400
Máximo,10,0.397200
Máximo,10,0.584100
Máximo,10,0.420100
Máximo,10,0.676800
Máximo,10,0.368900
Máximo,10,0.556700
Máximo,10,0.484300
Máximo,10,0.550400
Máximo,10,0.384500
Máximo,10,0.560200
Máximo,10,0.400700
Máximo,10,0.544500
Máximo,10,0.379800
Máximo,10,0.551700
Máximo,10,0.372600
Máximo,10,0.547900
Máximo,10,0.693200
Máximo,10,0.649200
Máximo,10,0.419800
Máximo,10,0.560600
Máximo,10,0.404500
Máximo,10,0.546500
Máximo,10,0.377300
Máximo,10,0.621500
Máximo,10,0.368900
Máximo,10,0.543600
Máximo,10,0.368000
Máximo,10,0.568100
Máximo,10,0.368200
Máximo,10,0.565300
Máximo,10,0.509700
Máximo,10,0.553800
Máximo,10,0.368900
Máximo,10,0.538200
Máximo,10,0.402800
Máximo,10,0.562700
Máximo,10,0.396700
Máximo,10,0.581700
Máximo,10,0.381800
Máximo,10,0.561500
Máximo,10,0.376500
Máximo,10,0.588800
Máximo,10,0.362100
Máximo,10,0.550200
Máximo,10,0.402900
Máximo,10,0.689600
Máximo,10,0.391200
Máximo,10,0.530600
Máximo,10,0.472700
Máximo,10,0.565200
Máximo,10,0.394600
Máximo,10,0.566500
Máximo,10,0.376700
Máximo,10,0.559800
Máximo,10,0.401500
Máximo,10,0.563700
Máximo,10,0.379200
Máximo,10,0.577400
Máximo,10,0.485000
Máximo,10,0.633300
Máximo,10,0.391500
Máximo,10,0.673800
Máximo,10,0.396600
Máximo,10,0.571600
Máximo,10,0.405800
Máximo,10,0.570000
